"No.","Time","Source","Destination","Protocol","Length","Info"
"44093","496.851809800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","92","Standard query 0x606a AAAA www.bing.com"
"44094","496.852120000","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","92","Standard query 0x5063 A www.bing.com"
"44095","496.862740600","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","274","Standard query response 0xe96e HTTPS www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net SOA n0dscx.akamaiedge.net"
"44096","496.865257100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","353","Standard query response 0x606a AAAA www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net AAAA 2600:140f:9800::17d7:d7f2 AAAA 2600:140f:9800::17d7:d7f8 AAAA 2600:140f:9800::17d7:d7f1 AAAA 2600:140f:9800::17c8:eeb9 AAAA 2600:140f:9800::17d7:d7f9"
"44097","496.866067100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","357","Standard query response 0x5063 A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net A 23.215.215.202 A 23.215.215.216 A 23.200.238.250 A 23.215.215.210 A 23.215.215.203 A 23.200.238.251 A 23.215.215.200 A 23.215.215.218 A 23.215.215.195"
"44175","497.068902100","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","107","Standard query 0x35f3 HTTPS images-eds-ssl.xboxlive.com"
"44176","497.069280500","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","107","Standard query 0xa623 AAAA images-eds-ssl.xboxlive.com"
"44177","497.069615800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","107","Standard query 0xf6b8 A images-eds-ssl.xboxlive.com"
"44182","497.081866300","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","250","Standard query response 0xa623 AAAA images-eds-ssl.xboxlive.com CNAME images-eds-ssl.xboxlive.com.edgekey.net CNAME e87.dspg.akamaiedge.net AAAA 2600:1417:53:182::57 AAAA 2600:1417:53:1b9::57"
"44183","497.083700000","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","255","Standard query response 0x35f3 HTTPS images-eds-ssl.xboxlive.com CNAME images-eds-ssl.xboxlive.com.edgekey.net CNAME e87.dspg.akamaiedge.net SOA n0dspg.akamaiedge.net"
"44184","497.092192900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","210","Standard query response 0xf6b8 A images-eds-ssl.xboxlive.com CNAME images-eds-ssl.xboxlive.com.edgekey.net CNAME e87.dspg.akamaiedge.net A 23.61.112.7"
"44269","497.581939200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","108","Standard query 0x4fec HTTPS store-images.s-microsoft.com"
"44270","497.582046000","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","108","Standard query 0xb8da AAAA store-images.s-microsoft.com"
"44271","497.582133800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","108","Standard query 0x3bfd A store-images.s-microsoft.com"
"44272","497.592183900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","262","Standard query response 0x4fec HTTPS store-images.s-microsoft.com CNAME store-images.s-microsoft.com-c.edgekey.net CNAME e12564.dspb.akamaiedge.net SOA n0dspb.akamaiedge.net"
"44273","497.596058000","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","217","Standard query response 0x3bfd A store-images.s-microsoft.com CNAME store-images.s-microsoft.com-c.edgekey.net CNAME e12564.dspb.akamaiedge.net A 23.41.122.15"
"44275","497.600528300","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","257","Standard query response 0xb8da AAAA store-images.s-microsoft.com CNAME store-images.s-microsoft.com-c.edgekey.net CNAME e12564.dspb.akamaiedge.net AAAA 2600:1417:53:186::3114 AAAA 2600:1417:53:18d::3114"
"44426","506.251791400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x3a31 HTTPS main.vscode-cdn.net"
"44427","506.252124000","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x26e6 AAAA main.vscode-cdn.net"
"44428","506.252432200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x4c68 A main.vscode-cdn.net"
"44429","506.263850100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","268","Standard query response 0x4c68 A main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0044.t-0009.t-msedge.net CNAME part-0044.t-0009.t-msedge.net A 13.107.246.72 A 13.107.213.72"
"44430","506.263850100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","296","Standard query response 0x3a31 HTTPS main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0044.t-0009.t-msedge.net CNAME part-0044.t-0009.t-msedge.net SOA ns1.t-msedge.net"
"44431","506.266446500","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","292","Standard query response 0x26e6 AAAA main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0044.t-0009.t-msedge.net CNAME part-0044.t-0009.t-msedge.net AAAA 2620:1ec:bdf::72 AAAA 2620:1ec:46::72"
"44463","506.476559100","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x96ba HTTPS default.exp-tas.com"
"44464","506.476876200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0xe712 AAAA default.exp-tas.com"
"44465","506.477151600","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x9bcd A default.exp-tas.com"
"44466","506.489559500","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","222","Standard query response 0x96ba HTTPS default.exp-tas.com CNAME deault-exp-tas-com.e-0014.e-msedge.net CNAME e-0014.e-msedge.net SOA ns1.e-msedge.net"
"44467","506.489559500","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","222","Standard query response 0xe712 AAAA default.exp-tas.com CNAME deault-exp-tas-com.e-0014.e-msedge.net CNAME e-0014.e-msedge.net SOA ns1.e-msedge.net"
"44468","506.489559500","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","181","Standard query response 0x9bcd A default.exp-tas.com CNAME deault-exp-tas-com.e-0014.e-msedge.net CNAME e-0014.e-msedge.net A 13.107.5.93"
"44470","506.498916800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0xeb19 HTTPS ev2-ring.msedge.net"
"44471","506.499259400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x8c57 AAAA ev2-ring.msedge.net"
"44472","506.499610100","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x9993 A ev2-ring.msedge.net"
"44473","506.512984200","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","212","Standard query response 0x8c57 AAAA ev2-ring.msedge.net CNAME Ev2-ring.Ev2-9999.Ev2-msedge.net CNAME Ev2-9999.Ev2-msedge.net AAAA 2603:1061:e::254 AAAA 2603:1061:e:1::254"
"44474","506.512984200","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","188","Standard query response 0x9993 A ev2-ring.msedge.net CNAME Ev2-ring.Ev2-9999.Ev2-msedge.net CNAME Ev2-9999.Ev2-msedge.net A 150.171.31.254 A 150.171.64.254"
"44480","506.528749400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","216","Standard query response 0xeb19 HTTPS ev2-ring.msedge.net CNAME Ev2-ring.Ev2-9999.Ev2-msedge.net CNAME Ev2-9999.Ev2-msedge.net SOA ns1.Ev2-msedge.net"
"44537","506.656825400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","109","Standard query 0x4e29 HTTPS t-ring-fallback-s2.msedge.net"
"44538","506.657130400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","109","Standard query 0x2d2e AAAA t-ring-fallback-s2.msedge.net"
"44539","506.657381400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","109","Standard query 0xfddc A t-ring-fallback-s2.msedge.net"
"44541","506.672157400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","231","Standard query response 0x4e29 HTTPS t-ring-fallback-s2.msedge.net CNAME t-ring.s-part2-t-9999.fb-t-msedge.net CNAME s-part2-t-9999.fb-t-msedge.net SOA ns1.fb-t-msedge.net"
"44542","506.673059800","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","187","Standard query response 0xfddc A t-ring-fallback-s2.msedge.net CNAME t-ring.s-part2-t-9999.fb-t-msedge.net CNAME s-part2-t-9999.fb-t-msedge.net A 13.107.226.254"
"44543","506.673059800","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","199","Standard query response 0x2d2e AAAA t-ring-fallback-s2.msedge.net CNAME t-ring.s-part2-t-9999.fb-t-msedge.net CNAME s-part2-t-9999.fb-t-msedge.net AAAA 2620:1ec:48:1::254"
"44567","506.815970200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","104","Standard query 0x8989 HTTPS afdxtest.z01.azurefd.net"
"44568","506.816317200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","104","Standard query 0x2e8e AAAA afdxtest.z01.azurefd.net"
"44569","506.816569300","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","104","Standard query 0x9af0 A afdxtest.z01.azurefd.net"
"44570","506.829437100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","285","Standard query response 0x8989 HTTPS afdxtest.z01.azurefd.net CNAME azurefd-critical-t-prod.trafficmanager.net CNAME shed.dual-low.part-0044.t-0009.t-msedge.net CNAME part-0044.t-0009.t-msedge.net SOA ns1.t-msedge.net"
